participantId,format,valid_strict,valid_loose
671bdd06525adeea062a1d73,json,True,True
6818ca1523ece90f671e3601,json,False,False
6680d2279263349cc005956a,json,False,False
6081728972120aa7f9685791,json,True,True
675aaf0eb1b401136f37c475,json,True,True
67d13a1ec91ae2216896de44,json,True,True
68138e7f96395f4c5f3a0a87,json,False,False
67f4ea448eb6a2b293c1f2fc,json,False,False
664e413a5f3eb7f99d90e15b,json,True,True
65fb236a5a78fcf672df7469,json,False,False
67176f0792ed8c4064f61a2c,json,False,False
5795af044a84da00014c5df1,json,True,True
