participantId,valid,parsed,errorMessage,"('Bad number', '4.4.7')","('Unknown identifier', 'versin')","('Unknown identifier', 'version')","Can not decode value starting with character ','","Missing value for object property, expected "":""",Unexpected text after end of JSON value,Values must be separated by a comma
680ebf035ab59d342f31726e,False,,"('Bad number', '4.4.7')",1,0,0,0,0,0,0
65583ffa38bfc41805a553cd,False,,"('Bad number', '4.4.7')",1,0,0,0,0,0,0
6717980047b565ab5b849317,False,,"('Bad number', '4.4.7')",1,0,0,0,0,0,0
67d2a409ab3638e33fc417b9,False,,Values must be separated by a comma,0,0,0,0,0,0,1
66ec8f7ce843d25227820f97,False,,"('Unknown identifier', 'version')",0,0,1,0,0,0,0
67792abbab2fa21bf3644c09,False,,"('Unknown identifier', 'version')",0,0,1,0,0,0,0
616e5ae706e970fe0aff99b6,False,,"('Bad number', '4.4.7')",1,0,0,0,0,0,0
660eafee7515c432e850362d,False,,Unexpected text after end of JSON value,0,0,0,0,0,1,0
65fae23bd06ae76bcc297e8b,False,,"Can not decode value starting with character ','",0,0,0,1,0,0,0
61601e9a6b8306196d2a129c,False,,"('Bad number', '4.4.7')",1,0,0,0,0,0,0
65fad6c874ac75642ffc254b,False,,"('Unknown identifier', 'version')",0,0,1,0,0,0,0
6094ce8d0764c24f352d1fe5,False,,"('Unknown identifier', 'version')",0,0,1,0,0,0,0
67d0088c269b3e96d9ba6019,False,,"('Unknown identifier', 'versin')",0,1,0,0,0,0,0
678a94ff1cf9f0775cb89e69,False,,Values must be separated by a comma,0,0,0,0,0,0,1
62d6d87d91cf24a3c1c0f10c,False,,"Missing value for object property, expected "":""",0,0,0,0,1,0,0
