participantId,format,code,valid,errorMessage,Bad key name (eof),Expecting ',Extra data,"Found ',' where a key name was expected (check your syntax or use quotes if the key name includes {}[],","Found '[' where a key name was expected (check your syntax or use quotes if the key name includes {}[],",Found a punctuator character when expecting a quoteless string (check your syntax)
680ebf035ab59d342f31726e,hjson,"{
version: 4.4.7
repository:
 author:
  middle name: '''

  IsMember:
   true
  type:
   git
engines:
 pnpm:
  >=8
keywords:
  canvas
  responsive 
  charts
}",True,,,,,,,
65583ffa38bfc41805a553cd,hjson,"{
 version: 4.4.7
 
 repository: { author, type.
author: middle name= null, 
isMember=true.
type: git
}
engines: pnpm//>=8
keywords: canvas, responsive, charts.",False,"Found ',' where a key name was expected (check your syntax or use quotes if the key name includes {}[],: or whitespace): line 4 column 16 (char 38)",0.0,0.0,0.0,1.0,0.0,0.0
6717980047b565ab5b849317,hjson,"{
  version: 4.4.7
  respiratory:
  author: {
    middle name:
 }
 IsMember: true
 Type: gif
 Engines: {
   pnpn: >=8
   }
   keywords: [canvas, responsive, charts]
   }",True,,,,,,,
67d2a409ab3638e33fc417b9,hjson,"{
  ""version"": ""4.4.7""
  ""repository"": """",
  ""engines"".:{
    ""npm"": ""->4'
    
    },
    ""keywords"":[""canvas"", ""responsive"" 
    ""author"": {
    ""middle name"": """",
    ""isMember"": """",
    ""title"": """"
    },
    ""type"": {
    ""gift"": """"
    }",False,Expecting ':' delimiter: line 4 column 12 (char 57),0.0,1.0,0.0,0.0,0.0,0.0
66ec8f7ce843d25227820f97,hjson,"version; 4.4.7
Repository 
author: { middle name}{IsMember}
type: {git

engine: {"">8}
keyword: {canvas
          responsive
          charts
          ",False,Extra data: line 2 column 1 - line 10 column 11 (char 16 - 160),0.0,0.0,1.0,0.0,0.0,0.0
67792abbab2fa21bf3644c09,hjson,"version: 4.4.7
repository: {
  author: {
    middlename"" """"
    IsMember: true
  }type: ""git""
}
engines: {
  pnpm: "">=8""
}
keywords: [
  canvas
  responsive
  charts
  ",False,Extra data: line 2 column 1 - line 15 column 3 (char 16 - 182),0.0,0.0,1.0,0.0,0.0,0.0
616e5ae706e970fe0aff99b6,hjson,"{
    version: 4.4.7
    repository:{
        author:{
            middlename
            isMember: True
        }
        type: git
        }
    engines:{
        pnpm: >=8
        }
    keywords:[
        canvas
        responsive
        charts
        ]


}",True,,,,,,,
660eafee7515c432e850362d,hjson,"""version"" ""4.4.7"".
""respiratory""
""engines""
""pnpm""
}
""keywords""
""canvas""
""responsive""
""charts""
]
""author""
""middle name""null
""ISmember"" true
}
""type"" git
",False,Extra data: line 1 column 11 - line 16 column 1 (char 10 - 167),0.0,0.0,1.0,0.0,0.0,0.0
65fae23bd06ae76bcc297e8b,hjson,"{
""note"" :""Different color represent different levels of the nested structure.\npurple rectangles indicate the top-level elements."" ,
""version"" : ""4.4.7"",
""respository"" :{
""author"" :{
""middle name"" :, null
""surname"" : ""tittle""
}
},
""engines': {
"" papa"" :""...""
}
""keywords"": [
""type""
""canvaa"",
""responsive "",
""charts""
]
}
",False,Found a punctuator character when expecting a quoteless string (check your syntax): line 6 column 16 (char 204),0.0,0.0,0.0,0.0,0.0,1.0
61601e9a6b8306196d2a129c,hjson,"{
    version: 4.4.7
    repository:
    {
        author: middle name, IsMember
        type: git
    }    
    engines:
    {
        pnpm:>=8
    }    
    keywords:
    [
      canvas
      responsive
      charts
    ]  ",False,Bad key name (eof): line 17 column 8 (char 241),1.0,0.0,0.0,0.0,0.0,0.0
65fad6c874ac75642ffc254b,hjson,"[
version: 4.4.7
]
[
Reoisitory:
[
1,author: [
1,middle name 
2,IsMember: true
]
2,type: git
]
engines:[
pnpm: >=8
]
keywords:{
canvas
responsive
charts
}

",False,Extra data: line 4 column 1 - line 22 column 1 (char 22 - 177),0.0,0.0,1.0,0.0,0.0,0.0
6094ce8d0764c24f352d1fe5,hjson,"version: 4.4.7
repository: [
    author: {
        ""middleName"": null
        ""isMember"": true
    },
    type: [
        git
    ]
]
engines: [
    pnpm: >=8
]
krywords: [
    ""canvas"",
    ""responsive"",
    ""charts""
]",False,Extra data: line 2 column 1 - line 18 column 2 (char 16 - 236),0.0,0.0,1.0,0.0,0.0,0.0
67d0088c269b3e96d9ba6019,hjson,"versin: 4-4-7

repository:

[ author:""middle name: Null
type: ""isMember"":true
]

engines:pnpm;>=8

keywords:

{ canvas : 

  responsive:
  
  chart:
  }",False,Extra data: line 3 column 1 - line 18 column 4 (char 17 - 169),0.0,0.0,1.0,0.0,0.0,0.0
678a94ff1cf9f0775cb89e69,hjson,"{
version: ""4.4.7""
respository:
author:
middle name: ""name""
IsMember: true
engines:
  pnpm: "">+8""
  type: ""git""
 keywords:
   [
    canvas
    responsive
    charts
   ]
}",True,,,,,,,
62d6d87d91cf24a3c1c0f10c,hjson,"{
specify version
Repository
[
Author
[
""Middle Name"" : null
""Is Member"" : True
""Is Member"" : False
]
Type
""type"" : Git
{
engines
""pnpm"" : >=8
}
{
keywords
list
[
1: Canvas,
2: Responsive,
3: charts
]
}

",False,"Found '[' where a key name was expected (check your syntax or use quotes if the key name includes {}[],: or whitespace): line 2 column 1 (char 3)",0.0,0.0,0.0,0.0,1.0,0.0
